Combination,Cohesive energy,Melting point,Volume,Density,Average mass,Covalent radius(pm),Atomic mismatch,Mulliken,Pauling,Pseudopotential,Min radius,ENTROPY,VEC,Enthalpy 
"('Hf', 'Nb', 'Tc', 'Al', 'In')",5.354,1809.6,11.732,8.578000000000000,102.22100000000000,121.0,0.0815517747530795,3.51122,1.638,1.869,0.419,13.380,4.4,-22.56
"('Hf', 'Nb', 'Tc', 'Al', 'La')",5.744,1962.2,13.0572,8.346,107.03900000000000,119.6,0.16004034402112,3.50152,1.502,2.075,0.333,13.380,4.4,-26.56
"('Hf', 'Nb', 'Tc', 'In', 'La')",5.570000000000000,1861.6,14.2092,9.268,124.6066,126.6,0.129911325187078,3.47604,1.536,2.15,0.333,13.380,4.4,-13.12
"('Hf', 'Nb', 'Ru', 'Ta', 'W')",7.55,2955.8,10.552,13.9252,147.4512,115.0,0.0613929428667706,3.964,1.792,2.22,0.419355,13.380,5.6,-24.96
"('Hf', 'Nb', 'Ru', 'Ta', 'Ir')",7.1580000000000000,2755.8,10.362,14.587800000000000,149.1272,113.4,0.0613929428667706,4.1498,1.76,2.1986,0.419355,13.380,6.2,-47.84
"('Hf', 'Nb', 'Ru', 'Ta', 'Au')",6.532000000000000,2486.6,10.7,13.936000000000000,150.0772,116.6,0.0613929428667706,4.2502,1.828,2.205,0.419355,13.380,6.6,-37.92
"('Hf', 'Nb', 'Ru', 'Ta', 'Al')",6.448,2405.8,10.658,10.616000000000000,116.07960000000000,114.2,0.0782460796435966,3.739,1.642,2.008,0.419355,13.380,5.0,-35.52
"('Hf', 'Nb', 'Ru', 'Ta', 'In')",6.274,2305.2,11.810000000000000,11.538,133.64720000000000,121.2,0.0627750095199434,3.71352,1.676,2.083,0.419,13.380,5.0,-16.8
"('Hf', 'Nb', 'Ru', 'Ta', 'La')",6.664,2457.8,13.135200000000000,11.306000000000000,138.46520000000000,119.8,0.142857142857144,3.70382,1.54,2.289,0.333,13.380,5.0,-11.04
"('Hf', 'Nb', 'Ru', 'W', 'Ir')",7.318,2837.8,10.086000000000000,15.157,149.70520000000000,112.6,0.0638876564999954,4.2301,1.932,2.1876,0.419355,13.380,6.4,-40.16
"('Hf', 'Nb', 'Ru', 'W', 'Au')",6.692,2568.6,10.424,14.505200000000000,150.6552,115.8,0.0638876564999954,4.3305,2,2.194,0.419355,13.380,6.8,-28.96
"('Hf', 'Nb', 'Ru', 'W', 'Al')",6.608,2487.8,10.382,11.1852,116.6576,113.4,0.0780458667700651,3.8193,1.814,1.997,0.419355,13.380,5.2,-30.88
"('Hf', 'Nb', 'Ru', 'W', 'In')",6.434,2387.2,11.534000000000000,12.1072,134.2252,120.4,0.0708197154665668,3.79382,1.848,2.072,0.419,13.380,5.2,-10.88
"('Hf', 'Nb', 'Ru', 'W', 'La')",6.824,2539.8,12.859200000000000,11.8752,139.0432,119.0,0.152313643457768,3.78412,1.712,2.278,0.333,13.380,5.2,-9.28
"('Hf', 'Nb', 'Ru', 'Ir', 'Au')",6.3,2368.6,10.234000000000000,15.1678,152.33120000000000,114.2,0.0638876564999954,4.5163,1.968,2.1726,0.419355,13.380,7.4,-44.48
"('Hf', 'Nb', 'Ru', 'Ir', 'Al')",6.216,2287.8,10.192000000000000,11.847800000000000,118.3336,111.8,0.0780458667700651,4.0051,1.782,1.9756,0.419355,13.380,5.8,-51.04
"('Hf', 'Nb', 'Ru', 'Ir', 'In')",6.042,2187.2,11.344000000000000,12.7698,135.90120000000000,118.8,0.0708197154665668,3.97962,1.816,2.0506,0.419,13.380,5.8,-32.64
"('Hf', 'Nb', 'Ru', 'Ir', 'La')",6.432,2339.8,12.669200000000000,12.5378,140.7192,117.4,0.152313643457768,3.96992,1.68,2.2566,0.333,13.380,5.8,-37.76
"('Hf', 'Nb', 'Ru', 'Au', 'Al')",5.59,2018.6,10.53,11.196000000000000,119.2836,115.0,0.0780458667700651,4.1055,1.85,1.982,0.419355,13.380,6.2,-43.04
"('Hf', 'Nb', 'Ru', 'Au', 'In')",5.4160000000000000,1918.0,11.682000000000000,12.118,136.8512,122.0,0.0708197154665668,4.08002,1.884,2.057,0.419,13.380,6.2,-27.68
"('Hf', 'Nb', 'Ru', 'Au', 'La')",5.806000000000000,2070.6,13.007200000000000,11.886,141.6692,120.6,0.152313643457768,4.07032,1.748,2.263,0.333,13.380,6.2,-35.04
"('Hf', 'Nb', 'Ru', 'Al', 'In')",5.332,1837.2,11.640000000000000,8.798000000000000,102.8536,119.6,0.0879577182873023,3.56882,1.698,1.86,0.419,13.380,4.6,-24.48
"('Hf', 'Nb', 'Ru', 'Al', 'La')",5.7220000000000000,1989.8,12.9652,8.566,107.67160000000000,118.2,0.165998661306516,3.55912,1.562,2.066,0.333,13.380,4.6,-29.12
"('Hf', 'Nb', 'Ru', 'In', 'La')",5.548,1889.2,14.1172,9.488000000000000,125.23920000000000,125.2,0.138081148900885,3.53364,1.596,2.141,0.333,13.380,4.6,-15.68
"('Hf', 'Nb', 'Ta', 'W', 'Ir')",7.590000000000000,2975.8,10.622,16.017,165.68120000000000,115.8,0.0523308725422913,4.1768,1.792,2.2246,0.419355,13.380,5.8,-32.48
"('Hf', 'Nb', 'Ta', 'W', 'Au')",6.964,2706.6,10.960000000000000,15.365200000000000,166.6312,119.0,0.0523308725422913,4.2772,1.86,2.231,0.419355,13.380,6.2,-20.64
"('Hf', 'Nb', 'Ta', 'W', 'Al')",6.88,2625.8,10.918,12.0452,132.6336,116.6,0.0723265179233008,3.766,1.674,2.034,0.419355,13.380,4.6,-14.72
"('Hf', 'Nb', 'Ta', 'W', 'In')",6.706,2525.2,12.070000000000000,12.9672,150.20120000000000,123.6,0.0509069032214127,3.74052,1.708,2.109,0.419,13.380,4.6,5.44
"('Hf', 'Nb', 'Ta', 'W', 'La')",7.096000000000000,2677.8,13.395200000000000,12.735200000000000,155.0192,122.2,0.135330173957438,3.73082,1.572,2.315,0.333,13.380,4.6,16.32
"('Hf', 'Nb', 'Ta', 'Ir', 'Au')",6.572,2506.6,10.77,16.0278,168.30720000000000,117.4,0.0523308725422913,4.463,1.828,2.2096,0.419355,13.380,6.8,-44.8
"('Hf', 'Nb', 'Ta', 'Ir', 'Al')",6.4880000000000000,2425.8,10.728,12.7078,134.3096,115.0,0.0723265179233008,3.9518,1.642,2.0126,0.419355,13.380,5.2,-43.52
"('Hf', 'Nb', 'Ta', 'Ir', 'In')",6.314,2325.2,11.880000000000000,13.6298,151.8772,122.0,0.0509069032214127,3.92632,1.676,2.0876,0.419,13.380,5.2,-24.96
"('Hf', 'Nb', 'Ta', 'Ir', 'La')",6.704000000000000,2477.8,13.2052,13.3978,156.6952,120.6,0.135330173957438,3.91662,1.54,2.2936,0.333,13.380,5.2,-20.8
"('Hf', 'Nb', 'Ta', 'Au', 'Al')",5.862,2156.6,11.066000000000000,12.056000000000000,135.2596,118.2,0.0723265179233008,4.0522,1.71,2.019,0.419355,13.380,5.6,-34.88
"('Hf', 'Nb', 'Ta', 'Au', 'In')",5.688,2056.0,12.218,12.978,152.8272,125.2,0.0509069032214127,4.02672,1.744,2.094,0.419,13.380,5.6,-19.36
"('Hf', 'Nb', 'Ta', 'Au', 'La')",6.078000000000000,2208.6,13.543200000000000,12.746000000000000,157.6452,123.8,0.135330173957438,4.01702,1.608,2.3,0.333,13.380,5.6,-17.44
"('Hf', 'Nb', 'Ta', 'Al', 'In')",5.604,1975.2,12.176000000000000,9.658000000000000,118.82960000000000,122.8,0.0755479389662302,3.51552,1.558,1.897,0.419,13.380,4.0,-8.32
"('Hf', 'Nb', 'Ta', 'Al', 'La')",5.994,2127.8,13.5012,9.426,123.64760000000000,121.4,0.151318129448239,3.50582,1.422,2.103,0.333,13.380,4.0,-3.68
"('Hf', 'Nb', 'Ta', 'In', 'La')",5.820000000000000,2027.2,14.653200000000000,10.348,141.21520000000000,128.4,0.116649289251518,3.48034,1.456,2.178,0.333,13.380,4.0,9.92
"('Hf', 'Nb', 'W', 'Ir', 'Au')",6.732000000000000,2588.6,10.494000000000000,16.597,168.8852,116.6,0.0567375886524809,4.5433,2,2.1986,0.419355,13.380,7.0,-34.72
"('Hf', 'Nb', 'W', 'Ir', 'Al')",6.648000000000000,2507.8,10.452000000000000,13.277000000000000,134.8876,114.2,0.073367187245938,4.0321,1.814,2.0016,0.419355,13.380,5.4,-37.76
"('Hf', 'Nb', 'W', 'Ir', 'In')",6.474000000000000,2407.2,11.604000000000000,14.199000000000000,152.45520000000000,121.2,0.0616846338620633,4.00662,1.848,2.0766,0.419,13.380,5.4,-17.92
"('Hf', 'Nb', 'W', 'Ir', 'La')",6.864000000000000,2559.8,12.9292,13.967000000000000,157.2732,119.8,0.145562467002093,3.99692,1.712,2.2826,0.333,13.380,5.4,-17.92
"('Hf', 'Nb', 'W', 'Au', 'Al')",6.022,2238.6,10.790000000000000,12.625200000000000,135.8376,117.4,0.073367187245938,4.1325,1.882,2.008,0.419355,13.380,5.8,-27.84
"('Hf', 'Nb', 'W', 'Au', 'In')",5.848000000000000,2138.0,11.942,13.5472,153.4052,124.4,0.0616846338620633,4.10702,1.916,2.083,0.419,13.380,5.8,-11.04
"('Hf', 'Nb', 'W', 'Au', 'La')",6.238,2290.6,13.267200000000000,13.3152,158.2232,123.0,0.145562467002093,4.09732,1.78,2.289,0.333,13.380,5.8,-13.28
"('Hf', 'Nb', 'W', 'Al', 'In')",5.764000000000000,2057.2,11.9,10.227200000000000,119.4076,122.0,0.0815517747530795,3.59582,1.73,1.886,0.419,13.380,4.2,-4.32
"('Hf', 'Nb', 'W', 'Al', 'La')",6.154000000000000,2209.8,13.225200000000000,9.9952,124.22560000000000,120.6,0.16004034402112,3.58612,1.594,2.092,0.333,13.380,4.2,-3.84
